Tên sản phẩm,SKU,Danh mục,Giá gốc,Giá bán
Áo khoác denim nữ,AO-001,Áo,180000,450000
Áo thun basic cotton,AO-002,Áo,50000,150000
Áo sơ mi lụa công sở,AO-003,Áo,120000,350000
Áo croptop rib tay ngắn,AO-004,Áo,40000,120000
Áo blazer oversized,AO-005,Áo,200000,550000
Áo hoodie unisex,AO-006,Áo,130000,320000
Áo polo cổ bẻ,AO-007,Áo,80000,220000
Áo cardigan dáng dài,AO-009,Áo,150000,380000
Quần jean baggy,QU-001,Quần,150000,380000
Quần ống rộng linen,QU-002,Quần,120000,300000
Quần legging thể thao,QU-003,Quần,60000,180000
Quần short jean rách,QU-004,Quần,80000,220000
Quần tây công sở nữ,QU-005,Quần,130000,320000
Váy hoa vintage midi,VA-001,Váy,130000,350000
Đầm maxi boho,VA-002,Đầm,180000,450000
Váy tennis xếp ly,VA-003,Váy,80000,220000
Đầm bodycon tay dài,VA-004,Đầm,120000,320000
Túi xách tote canvas,PK-001,Túi,60000,180000
Túi đeo chéo mini,PK-002,Túi,80000,220000
Giày sneaker trắng,PK-004,Giày,180000,450000
Mũ bucket hat,PK-008,Phụ kiện,30000,90000
Set bộ áo quần linen,ST-001,Set đồ,200000,500000
Set váy áo công sở,ST-002,Set đồ,250000,600000
